Subject,Grade,QuestionText,Description,questionType,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 3,Explain what 3/4 means. Draw or describe a situation that shows 3/4.,Fraction meaning.,ShortAnswer,158,2,CGSA,Fractions,CCSS.MATH.DOM.NF
Maths,Grade 3,Why do we need to round numbers? Give one real-life example.,Rounding.,ShortAnswer,155,2,CGSA,Rounding,CCSS.MATH.DOM.NBT
Maths,Grade 3,Describe how to tell time to the nearest minute. What do the hands mean?,Time.,ShortAnswer,168,2,CGSA,Time,CCSS.MATH.DOM.MD
Maths,Grade 3,What is the perimeter of a shape? How do you find it for a rectangle?,Perimeter.,ShortAnswer,170,2,CGSA,Perimeter,CCSS.MATH.DOM.MD
Maths,Grade 3,How do you know if two fractions are equivalent? Give an example.,Equivalent fractions.,ShortAnswer,172,2,CGSA,Equivalent fractions,CCSS.MATH.DOM.NF
Maths,Grade 3,Explain the steps to solve 248 + 375. Why do we regroup?,Addition with regrouping.,ShortAnswer,164,2,CGSA,Addition,CCSS.MATH.DOM.NBT
Maths,Grade 3,What is the difference between the area and the perimeter of a rectangle? Explain.,Area vs perimeter.,ShortAnswer,175,2,CGSA,Measurement,CCSS.MATH.DOM.MD
Maths,Grade 4,Explain how to multiply 23 × 4. Why does the standard algorithm work?,Multiplication algorithm.,ShortAnswer,185,2,CGSA,Multiplication,CCSS.MATH.DOM.NBT
Maths,Grade 4,What is a factor? What is a multiple? Give an example of each.,Factors and multiples.,ShortAnswer,182,2,CGSA,Factors,CCSS.MATH.DOM.OA
Maths,Grade 4,How do you compare two fractions with different denominators? Explain your method.,Comparing fractions.,ShortAnswer,188,2,CGSA,Fractions,CCSS.MATH.DOM.NF
Maths,Grade 4,Describe how to find the area of a shape that is not a rectangle. Give an example.,Area of irregular shapes.,ShortAnswer,190,2,CGSA,Area,CCSS.MATH.DOM.MD
Maths,Grade 4,What does it mean for a number to be prime? Is 9 prime? Explain.,Prime numbers.,ShortAnswer,192,2,CGSA,Number properties,CCSS.MATH.DOM.OA
Maths,Grade 4,Explain how to add 2/3 + 1/4. Why do we need a common denominator?,Adding fractions.,ShortAnswer,195,2,CGSA,Adding fractions,CCSS.MATH.DOM.NF
Maths,Grade 4,What are angles? How do we measure them? What unit do we use?,Angles.,ShortAnswer,178,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 4,Describe the steps to divide 84 by 6. What does the quotient mean?,Division.,ShortAnswer,198,2,CGSA,Division,CCSS.MATH.DOM.NBT
Maths,Grade 4,What is the difference between a line a ray and a line segment? Draw or describe.,Lines and rays.,ShortAnswer,200,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 4,Why is it useful to decompose a number? Give an example.,Number decomposition.,ShortAnswer,184,2,CGSA,Place value,CCSS.MATH.DOM.NBT
Maths,Grade 5,Explain how to multiply 0.4 × 0.3. Why does the product have two decimal places?,Decimal multiplication.,ShortAnswer,212,2,CGSA,Decimals,CCSS.MATH.DOM.NBT
Maths,Grade 5,What is the volume of a rectangular prism? How do you find it? Why does that formula work?,Volume.,ShortAnswer,215,2,CGSA,Volume,CCSS.MATH.DOM.MD
Maths,Grade 5,How do you divide a fraction by a whole number? Give an example and explain.,Dividing fractions.,ShortAnswer,218,2,CGSA,Fractions,CCSS.MATH.DOM.NF
Maths,Grade 5,What is the difference between the GCF and the LCM? Give an example of when you use each.,GCF and LCM.,ShortAnswer,220,2,CGSA,Number theory,CCSS.MATH.DOM.OA
Maths,Grade 5,Explain how to add 2.5 + 1.73. Why do we align the decimal points?,Adding decimals.,ShortAnswer,208,2,CGSA,Decimals,CCSS.MATH.DOM.NBT
Maths,Grade 5,Describe how to plot the point (3 4) on a coordinate plane. What do the numbers mean?,Coordinate plane.,ShortAnswer,222,2,CGSA,Coordinate plane,CCSS.MATH.DOM.G
Maths,Grade 5,What is a mixed number? How do you convert it to an improper fraction? Explain.,Mixed numbers.,ShortAnswer,225,2,CGSA,Fractions,CCSS.MATH.DOM.NF
Maths,Grade 5,Why do we use the order of operations? Give an example where the order matters.,Order of operations.,ShortAnswer,228,2,CGSA,Expressions,CCSS.MATH.DOM.OA
Maths,Grade 5,Explain how to find 30% of 80. What does percent mean?,Percent.,ShortAnswer,230,2,CGSA,Percent,CCSS.MATH.DOM.RP
Maths,Grade 5,What is the relationship between multiplication and division of fractions? Give an example.,Fraction operations.,ShortAnswer,232,2,CGSA,Fractions,CCSS.MATH.DOM.NF
Maths,Grade 6,Explain how to solve the equation 2x + 5 = 15. What does the solution mean?,Solve equations.,ShortAnswer,242,2,CGSA,Equations,CCSS.MATH.DOM.EE
Maths,Grade 6,What is the ratio of 6 to 4? How is it different from the fraction 6/4? Explain.,Ratio and fraction.,ShortAnswer,238,2,CGSA,Ratios,CCSS.MATH.DOM.RP
Maths,Grade 6,Describe how to find the GCF of 24 and 36. Why is the GCF useful?,GCF.,ShortAnswer,245,2,CGSA,Number system,CCSS.MATH.DOM.NS
Maths,Grade 6,What is absolute value? Why is it always non-negative? Give an example.,Absolute value.,ShortAnswer,248,2,CGSA,Number system,CCSS.MATH.DOM.NS
Maths,Grade 6,Explain how to find the area of a triangle. Why do we multiply by 1/2?,Area of triangle.,ShortAnswer,250,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 6,What is the difference between an expression and an equation? Give an example of each.,Expression vs equation.,ShortAnswer,235,2,CGSA,Expressions,CCSS.MATH.DOM.EE
Maths,Grade 6,How do you find the unit rate? Why is it useful? Give a real-life example.,Unit rate.,ShortAnswer,252,2,CGSA,Ratios,CCSS.MATH.DOM.RP
Maths,Grade 6,Describe how to find the surface area of a rectangular prism. What does surface area mean?,Surface area.,ShortAnswer,255,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 6,What is the distributive property? Give an example and explain why it works.,Distributive property.,ShortAnswer,258,2,CGSA,Properties,CCSS.MATH.DOM.EE
Maths,Grade 6,Explain how to divide 3/4 by 2/5. Why do we multiply by the reciprocal?,Dividing fractions.,ShortAnswer,260,2,CGSA,Fractions,CCSS.MATH.DOM.NS
Maths,Grade 7,Explain how to solve 3x - 7 = 20. What properties do you use?,Solving equations.,ShortAnswer,272,2,CGSA,Equations,CCSS.MATH.DOM.EE
Maths,Grade 7,What is the difference between a proportional and a non-proportional relationship? Give an example of each.,Proportional relationships.,ShortAnswer,268,2,CGSA,Proportionality,CCSS.MATH.DOM.RP
Maths,Grade 7,Describe how to find the circumference of a circle. What is pi and why do we use it?,Circumference.,ShortAnswer,275,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 7,What is the probability of an event? How do you find it when outcomes are equally likely?,Probability.,ShortAnswer,278,2,CGSA,Probability,CCSS.MATH.DOM.SP
Maths,Grade 7,Explain how to add -5 + 3 using a number line. What does the answer mean?,Adding integers.,ShortAnswer,265,2,CGSA,Integers,CCSS.MATH.DOM.NS
Maths,Grade 7,What is scale factor? How does it affect area and volume?,Scale factor.,ShortAnswer,280,2,CGSA,Scale drawings,CCSS.MATH.DOM.G
Maths,Grade 7,Describe how to solve a two-step inequality. How is it different from an equation?,Inequalities.,ShortAnswer,282,2,CGSA,Inequalities,CCSS.MATH.DOM.EE
Maths,Grade 7,What is the formula for the area of a circle? Where does it come from?,Area of circle.,ShortAnswer,285,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 7,Explain what a constant of proportionality is. How do you find it from a table?,Constant of proportionality.,ShortAnswer,288,2,CGSA,Proportionality,CCSS.MATH.DOM.RP
Maths,Grade 7,How do you find the percent of change? Give an example of percent increase and decrease.,Percent change.,ShortAnswer,290,2,CGSA,Percent,CCSS.MATH.DOM.RP
Maths,Grade 8,Explain how to solve the system of equations: x + y = 10 and 2x - y = 2. What does the solution represent?,Systems of equations.,ShortAnswer,302,2,CGSA,Systems,CCSS.MATH.DOM.EE
Maths,Grade 8,What is the Pythagorean theorem? When can you use it? Prove or explain why it works.,Pythagorean theorem.,ShortAnswer,305,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 8,Describe how to graph a linear equation. What do the slope and y-intercept tell you?,Linear equations.,ShortAnswer,298,2,CGSA,Linear equations,CCSS.MATH.DOM.EE
Maths,Grade 8,What is a function? How is it different from a relation? Give an example.,Functions.,ShortAnswer,308,2,CGSA,Functions,CCSS.MATH.DOM.F
Maths,Grade 8,Explain how to simplify a square root. When is the square root of a number irrational?,Square roots.,ShortAnswer,310,2,CGSA,Number system,CCSS.MATH.DOM.NS
Maths,Grade 8,What is the slope of a line? How do you find it from two points? From an equation?,Slope.,ShortAnswer,300,2,CGSA,Slope,CCSS.MATH.DOM.EE
Maths,Grade 8,Describe how to solve 2(x + 3) = 10. What property do you use first?,Linear equations.,ShortAnswer,295,2,CGSA,Equations,CCSS.MATH.DOM.EE
Maths,Grade 8,What is the difference between linear and nonlinear? Give an example of each.,Linear vs nonlinear.,ShortAnswer,312,2,CGSA,Functions,CCSS.MATH.DOM.F
Maths,Grade 8,Explain how to find the volume of a cylinder. How is it related to the volume of a prism?,Volume of cylinder.,ShortAnswer,315,2,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 8,What is scientific notation? When is it useful? Convert 3400000 to scientific notation.,Scientific notation.,ShortAnswer,318,2,CGSA,Number system,CCSS.MATH.DOM.EE
Maths,Grade 9,Explain how to solve a quadratic equation by factoring. When does this method work?,Quadratic equations.,ShortAnswer,328,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 9,What is the quadratic formula? When do you use it instead of factoring?,Quadratic formula.,ShortAnswer,332,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 9,Describe the transformations that take y = x² to y = (x - 2)² + 3. What is the vertex?,Transformations.,ShortAnswer,330,2,CGSA,Functions,CCSS.MATH.DOM.F
Maths,Grade 9,What is the difference between an arithmetic and a geometric sequence? Give an example of each.,Sequences.,ShortAnswer,335,2,CGSA,Sequences,CCSS.MATH.CONTENT.A
Maths,Grade 9,Explain how to solve an inequality with absolute value. Why do you get two inequalities?,Absolute value inequalities.,ShortAnswer,338,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 9,What is the domain and range of a function? How do you find them from a graph?,Domain and range.,ShortAnswer,340,2,CGSA,Functions,CCSS.MATH.CONTENT.F
Maths,Grade 9,Describe how to factor x² + 5x + 6. What is the connection to solving x² + 5x + 6 = 0?,Factoring.,ShortAnswer,325,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 9,What is an exponent? What do negative and zero exponents mean? Explain.,Exponent rules.,ShortAnswer,322,2,CGSA,Number and quantity,CCSS.MATH.CONTENT.N
Maths,Grade 9,Explain how to find the equation of a line given two points. What form do you use?,Equation of a line.,ShortAnswer,336,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 9,What is the relationship between the graph of f(x) and f(x) + k? What about f(x + k)?,Graph transformations.,ShortAnswer,342,2,CGSA,Functions,CCSS.MATH.CONTENT.F
Maths,Grade 10,Explain how to solve a system of linear equations in three variables. What does the solution represent?,Systems in 3 variables.,ShortAnswer,348,3,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 10,What is a logarithm? How is it related to exponents? Give an example.,Logarithms.,ShortAnswer,350,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 10,Describe how to find the inverse of a function. When does a function have an inverse?,Inverse functions.,ShortAnswer,352,2,CGSA,Functions,CCSS.MATH.CONTENT.F
Maths,Grade 10,What is the unit circle? How is it used to define sine and cosine?,Unit circle.,ShortAnswer,350,2,CGSA,Trigonometry,CCSS.MATH.CONTENT.N
Maths,Grade 10,Explain the law of sines. When do you use it instead of the Pythagorean theorem?,Law of sines.,ShortAnswer,350,2,CGSA,Trigonometry,CCSS.MATH.CONTENT.N
Maths,Grade 10,What is the difference between permutation and combination? Give an example of each.,Permutations and combinations.,ShortAnswer,345,2,CGSA,Probability,CCSS.MATH.DOM.SP
Maths,Grade 10,Describe how to complete the square. Why is it useful for solving quadratic equations?,Completing the square.,ShortAnswer,348,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 10,What is the binomial theorem? How do you expand (a + b)^3?,Binomial theorem.,ShortAnswer,352,2,CGSA,Algebra,CCSS.MATH.CONTENT.A
Maths,Grade 10,Explain how to find the sum of an infinite geometric series. When does it have a finite sum?,Geometric series.,ShortAnswer,350,2,CGSA,Sequences,CCSS.MATH.CONTENT.A
Maths,Grade 10,What is radian measure? How do you convert between radians and degrees?,Radians.,ShortAnswer,350,2,CGSA,Trigonometry,CCSS.MATH.CONTENT.N
Maths,Grade 11,Explain how to find the derivative of x^2 using the limit definition. What does the derivative represent?,Derivative.,ShortAnswer,348,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,What is the chain rule? When do you use it? Give an example.,Chain rule.,ShortAnswer,350,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,Describe how to find the critical points of a function. What do they tell you about the graph?,Critical points.,ShortAnswer,352,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,What is the definite integral? How is it related to area under a curve?,Definite integral.,ShortAnswer,350,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,Explain the fundamental theorem of calculus. Why is it important?,Fundamental theorem.,ShortAnswer,350,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,What is the difference between a sequence and a series? When does a series converge?,Sequences and series.,ShortAnswer,345,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.A
Maths,Grade 11,Describe how to integrate by substitution. When do you use it?,Integration by substitution.,ShortAnswer,348,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,What is the meaning of the second derivative? How does it relate to concavity?,Second derivative.,ShortAnswer,352,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,Explain how to find the volume of a solid of revolution. What method do you use?,Volumes of revolution.,ShortAnswer,350,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 11,What is Euler's formula? How does it connect exponential and trigonometric functions?,Euler's formula.,ShortAnswer,350,3,HS-CALC,Precalculus,CCSS.MATH.CONTENT.N
Maths,Grade 12,Explain how to find the Taylor series for a function. What is the interval of convergence?,Taylor series.,ShortAnswer,348,4,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 12,What is a vector? How do you add and subtract vectors? What about scalar multiplication?,Vectors.,ShortAnswer,350,3,HS-CALC,Precalculus,CCSS.MATH.CONTENT.N
Maths,Grade 12,Describe how to solve a differential equation of the form dy/dx = ky. What is the solution?,Differential equations.,ShortAnswer,352,4,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 12,What is the dot product of two vectors? What does it tell you about the angle between them?,Dot product.,ShortAnswer,350,3,HS-CALC,Precalculus,CCSS.MATH.CONTENT.N
Maths,Grade 12,Explain how to find the area between two curves. What if the curves intersect?,Area between curves.,ShortAnswer,350,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 12,What is the cross product? How is it different from the dot product? Give an application.,Cross product.,ShortAnswer,350,3,HS-CALC,Precalculus,CCSS.MATH.CONTENT.N
Maths,Grade 12,Describe how to use integration by parts. When do you choose it?,Integration by parts.,ShortAnswer,348,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 12,What is a limit? How do you evaluate limits at infinity?,Limits.,ShortAnswer,345,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 12,Explain the concept of continuity. What does it mean for a function to be continuous at a point?,Continuity.,ShortAnswer,350,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Maths,Grade 12,What is the gradient of a function of two variables? How do you use it?,Gradient.,ShortAnswer,352,3,HS-CALC,Calculus,CCSS.MATH.CONTENT.F
Science,Grade 1,What do plants need to grow? List and briefly explain each.,Name the needs and give a short explanation.,ShortAnswer,118,1,1-LS1-1,Life science,NGSS.SEP.1, NGSS.DCI.LS1
Science,Grade 1,How are animals and plants different? How are they the same?,Compare and contrast.,ShortAnswer,115,1,1-LS1-1,Living things,NGSS.SEP.4, NGSS.DCI.LS1
Science,Grade 1,What happens when you push something? What happens when you pull?,Forces.,ShortAnswer,112,1,K-PS2-1,Forces,NGSS.SEP.2, NGSS.DCI.PS2
Science,Grade 1,Describe day and night. What do you see in the sky during each?,Day and night.,ShortAnswer,110,1,1-ESS1-1,Earth and space,NGSS.SEP.4, NGSS.DCI.ESS1
Science,Grade 1,What do we use our five senses for? Give one example for each sense.,Senses.,ShortAnswer,105,1,K-PS2-1,Senses,NGSS.SEP.4, NGSS.DCI.PS4
Science,Grade 1,Why do we need to take care of plants and animals? Give two reasons.,Care for living things.,ShortAnswer,120,2,K-ESS3-1,Environment,NGSS.SEP.6, NGSS.DCI.ESS3
Science,Grade 1,What is weather? Name three types of weather.,Weather.,ShortAnswer,108,1,K-ESS2-1,Weather,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 1,What makes something living? How can you tell if something is not living?,Living vs nonliving.,ShortAnswer,122,1,1-LS1-1,Life science,NGSS.SEP.7, NGSS.DCI.LS1
Science,Grade 1,What happens when you put an ice cube in the sun? Why?,Heating and cooling.,ShortAnswer,125,2,K-PS3-1,Matter,NGSS.SEP.2, NGSS.DCI.PS3
Science,Grade 1,Describe the four seasons. What is different about each one?,Seasons.,ShortAnswer,128,1,K-ESS2-1,Seasons,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 2,What is the difference between a solid a liquid and a gas? Give an example of each.,States of matter.,ShortAnswer,138,2,2-PS1-1,Matter,NGSS.SEP.2, NGSS.DCI.PS1
Science,Grade 2,How do plants get what they need? Where do they get water and light?,Plant needs.,ShortAnswer,135,2,2-LS2-1,Life science,NGSS.SEP.1, NGSS.DCI.LS2
Science,Grade 2,Describe the life cycle of a butterfly. What are the stages?,Life cycles.,ShortAnswer,140,2,2-LS2-1,Life cycles,NGSS.SEP.7, NGSS.DCI.LS1
Science,Grade 2,What causes erosion? How can we slow it down?,Erosion.,ShortAnswer,142,2,2-ESS2-1,Earth science,NGSS.SEP.6, NGSS.DCI.ESS2
Science,Grade 2,How does a magnet work? What does it attract?,Magnets.,ShortAnswer,136,1,K-PS2-2,Forces,NGSS.SEP.3, NGSS.DCI.PS2
Science,Grade 2,What is a habitat? Why do different animals live in different habitats?,Habitats.,ShortAnswer,145,2,2-LS4-1,Ecosystems,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 2,Where does light come from? Name two sources of light.,Light.,ShortAnswer,132,1,1-PS4-2,Light,NGSS.SEP.4, NGSS.DCI.PS4
Science,Grade 2,What happens when we recycle? Why is it important?,Recycling.,ShortAnswer,148,2,K-ESS3-3,Conservation,NGSS.SEP.8, NGSS.DCI.ESS3
Science,Grade 2,Describe how seeds travel. Name two ways.,Seed dispersal.,ShortAnswer,150,2,2-LS2-2,Plants,NGSS.SEP.6, NGSS.DCI.LS2
Science,Grade 2,What is the water cycle? Name the main steps.,Water cycle.,ShortAnswer,144,2,2-ESS2-3,Water cycle,NGSS.SEP.2, NGSS.DCI.ESS2
Science,Grade 3,What is the difference between inherited traits and learned behaviors? Give an example of each.,Inheritance.,ShortAnswer,165,2,3-LS3-1,Heredity,NGSS.SEP.7, NGSS.DCI.LS3
Science,Grade 3,Describe the roles of producers consumers and decomposers in a food chain.,Food chains.,ShortAnswer,168,2,3-LS2-1,Ecosystems,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 3,What are fossils? How do they form? What can we learn from them?,Fossils.,ShortAnswer,162,2,3-LS4-1,Fossils,NGSS.SEP.4, NGSS.DCI.LS4
Science,Grade 3,Explain the water cycle. What causes evaporation and precipitation?,Water cycle.,ShortAnswer,160,2,2-ESS2-3,Water cycle,NGSS.SEP.2, NGSS.DCI.ESS2
Science,Grade 3,What is the difference between renewable and nonrenewable resources? Give two examples of each.,Resources.,ShortAnswer,172,2,3-ESS3-1,Resources,NGSS.SEP.6, NGSS.DCI.ESS3
Science,Grade 3,How do animals adapt to their environment? Give two examples of adaptations.,Adaptations.,ShortAnswer,170,2,3-LS4-2,Adaptations,NGSS.SEP.6, NGSS.DCI.LS4
Science,Grade 3,What are the different types of energy? Give an example of how we use each.,Energy.,ShortAnswer,158,2,3-PS2-2,Energy,NGSS.SEP.4, NGSS.DCI.PS3
Science,Grade 3,Describe the climate in different parts of the world. What affects climate?,Climate.,ShortAnswer,175,2,3-ESS2-1,Climate,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 3,What is a simple machine? Name three and say what they do.,Simple machines.,ShortAnswer,178,2,3-PS2-1,Forces,NGSS.SEP.2, NGSS.DCI.PS2
Science,Grade 3,How do magnets attract or repel? What does it depend on?,Magnetic force.,ShortAnswer,164,2,3-PS2-2,Magnets,NGSS.SEP.2, NGSS.DCI.PS2
Science,Grade 4,Describe the function of the heart lungs and brain. How do they work together?,Body systems.,ShortAnswer,192,2,4-LS1-1,Human body,NGSS.SEP.2, NGSS.DCI.LS1
Science,Grade 4,What are the layers of the Earth? Describe each layer briefly.,Earth structure.,ShortAnswer,195,2,4-ESS2-2,Earth science,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 4,Explain the difference between conduction convection and radiation. Give an example of each.,Heat transfer.,ShortAnswer,198,2,4-PS3-2,Heat,NGSS.SEP.5, NGSS.DCI.PS3
Science,Grade 4,How do igneous sedimentary and metamorphic rocks form? What is the rock cycle?,Rock cycle.,ShortAnswer,200,2,4-ESS1-1,Rocks,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 4,What is the difference between a conductor and an insulator? Give two examples of each.,Electricity.,ShortAnswer,190,2,4-PS3-2,Electricity,NGSS.SEP.3, NGSS.DCI.PS3
Science,Grade 4,Describe the roles of herbivores carnivores and omnivores in an ecosystem.,Consumer types.,ShortAnswer,202,2,4-LS1-1,Ecosystems,NGSS.SEP.2, NGSS.DCI.LS2
Science,Grade 4,What is reflection? What is refraction? How are they different?,Light.,ShortAnswer,205,2,4-PS4-2,Light,NGSS.SEP.3, NGSS.DCI.PS4
Science,Grade 4,Describe a forest ecosystem and an ocean ecosystem. How are they different?,Ecosystems.,ShortAnswer,208,2,4-LS2-1,Ecosystems,NGSS.SEP.6, NGSS.DCI.LS2
Science,Grade 4,How does the moon appear to change shape? What are the phases?,Moon phases.,ShortAnswer,185,2,4-ESS1-1,Space,NGSS.SEP.4, NGSS.DCI.ESS1
Science,Grade 4,What is erosion? What causes it? How can we prevent it?,Erosion.,ShortAnswer,196,2,4-ESS2-1,Erosion,NGSS.SEP.6, NGSS.DCI.ESS2
Science,Grade 5,What is the difference between a chemical change and a physical change? Give two examples of each.,Chemical vs physical change.,ShortAnswer,218,2,5-PS1-4,Matter,NGSS.SEP.3, NGSS.DCI.PS1
Science,Grade 5,Explain the greenhouse effect. Why is it important for life on Earth?,Greenhouse effect.,ShortAnswer,222,2,5-ESS3-1,Climate,NGSS.SEP.6, NGSS.DCI.ESS3
Science,Grade 5,What are the phases of the moon? Why does the moon appear to change shape?,Moon phases.,ShortAnswer,215,2,5-ESS1-2,Space,NGSS.SEP.4, NGSS.DCI.ESS1
Science,Grade 5,What is conservation of matter? Give an example that shows matter is not created or destroyed.,Conservation of matter.,ShortAnswer,225,2,5-PS1-2,Matter,NGSS.SEP.5, NGSS.DCI.PS1
Science,Grade 5,Describe the role of decomposers in an ecosystem. Why are they important?,Decomposers.,ShortAnswer,228,2,5-LS2-1,Ecosystems,NGSS.SEP.2, NGSS.DCI.LS2
Science,Grade 5,What is gravity? How does it affect objects on Earth and in space?,Gravity.,ShortAnswer,220,2,5-PS2-1,Forces,NGSS.SEP.2, NGSS.DCI.PS2
Science,Grade 5,What is the difference between a homogeneous and a heterogeneous mixture? Give an example of each.,Mixtures.,ShortAnswer,230,2,5-PS1-3,Matter,NGSS.SEP.3, NGSS.DCI.PS1
Science,Grade 5,What are sustainable practices? Name three and explain why they matter.,Sustainability.,ShortAnswer,232,2,5-ESS3-1,Sustainability,NGSS.SEP.8, NGSS.DCI.ESS3
Science,Grade 5,Describe the water cycle. What drives evaporation and precipitation?,Water cycle.,ShortAnswer,212,2,5-ESS2-1,Water cycle,NGSS.SEP.2, NGSS.DCI.ESS2
Science,Grade 5,What is the difference between mass and weight? Where would your weight change?,Mass vs weight.,ShortAnswer,235,2,5-PS2-1,Forces,NGSS.SEP.2, NGSS.DCI.PS2
Science,Grade 6,Describe the difference between a planet an asteroid and a comet. Where are they found?,Solar system.,ShortAnswer,248,2,MS-ESS1-2,Solar system,NGSS.SEP.4, NGSS.DCI.ESS1
Science,Grade 6,What are convergent divergent and transform plate boundaries? What happens at each?,Plate tectonics.,ShortAnswer,252,2,MS-ESS2-2,Plate tectonics,NGSS.SEP.6, NGSS.DCI.ESS2
Science,Grade 6,Explain the function of the nucleus mitochondria and chloroplast in a cell.,Cell organelles.,ShortAnswer,245,2,MS-LS1-2,Cell structure,NGSS.SEP.2, NGSS.DCI.LS1
Science,Grade 6,What is the difference between kinetic and potential energy? Give an example of each.,Energy types.,ShortAnswer,242,2,MS-PS3-1,Energy,NGSS.SEP.2, NGSS.DCI.PS3
Science,Grade 6,Describe the process of photosynthesis. What are the inputs and outputs?,Photosynthesis.,ShortAnswer,255,2,MS-LS1-6,Photosynthesis,NGSS.SEP.6, NGSS.DCI.LS1
Science,Grade 6,What are wavelength frequency and amplitude? How do they relate to waves?,Wave properties.,ShortAnswer,258,2,MS-PS4-1,Waves,NGSS.SEP.2, NGSS.DCI.PS4
Science,Grade 6,What evidence do we have for evolution? Describe at least two types of evidence.,Evolution evidence.,ShortAnswer,260,2,MS-LS4-1,Evolution,NGSS.SEP.7, NGSS.DCI.LS4
Science,Grade 6,What are the signs of a chemical reaction? Give an example and explain.,Chemical reactions.,ShortAnswer,262,2,MS-PS1-2,Chemistry,NGSS.SEP.3, NGSS.DCI.PS1
Science,Grade 6,Describe how to interpret data from a graph. What can you learn from the pattern?,Data analysis.,ShortAnswer,250,2,MS-LS2-1,Data,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 6,What is the difference between a physical and chemical property? Give two examples of each.,Properties of matter.,ShortAnswer,265,2,MS-PS1-2,Matter,NGSS.SEP.3, NGSS.DCI.PS1
Science,Grade 7,What are renewable and nonrenewable energy sources? Give two examples of each and explain the difference.,Energy resources.,ShortAnswer,278,2,MS-ESS3-1,Energy,NGSS.SEP.6, NGSS.DCI.ESS3
Science,Grade 7,Explain natural selection. How does it lead to evolution over time?,Natural selection.,ShortAnswer,282,2,MS-LS4-4,Evolution,NGSS.SEP.7, NGSS.DCI.LS4
Science,Grade 7,Describe the difference between gravity friction and magnetic force. What causes each?,Forces.,ShortAnswer,275,2,MS-PS2-1,Forces,NGSS.SEP.2, NGSS.DCI.PS2
Science,Grade 7,What is energy transformation? Give an example of chemical energy being converted to kinetic energy.,Energy transfer.,ShortAnswer,285,2,MS-PS3-2,Energy,NGSS.SEP.5, NGSS.DCI.PS3
Science,Grade 7,What factors affect the rate of a chemical reaction? Explain how each factor affects the rate.,Reaction rate.,ShortAnswer,288,2,MS-PS1-4,Chemistry,NGSS.SEP.3, NGSS.DCI.PS1
Science,Grade 7,Describe the layers of the atmosphere. What happens in each layer?,Atmosphere.,ShortAnswer,290,2,MS-ESS2-4,Atmosphere,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 7,What causes genetic variation? How does it affect offspring?,Genetic variation.,ShortAnswer,292,2,MS-LS3-2,Genetics,NGSS.SEP.6, NGSS.DCI.LS3
