Subject,Grade,QuestionText,Description,questionType,leftItems,rightItems,correctPairs,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 10,Match each modifier error to its fix.,Match modifier errors.,Matching,"misplaced,dangling,squinting,split infinitive","avoid adverb in to verb,move next to noun,add subject,clarify which","0-1,1-2,2-3,3-0",335,2,CCSS.ELA.L.9-10.1,modifiers,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 10,Match each theme to a universal idea.,Match theme.,Matching,"good vs evil,coming of age,identity,social justice","fairness,moral conflict,grow up,who am I","0-1,1-2,2-3,3-0",332,2,CCSS.ELA.RL.9-10.2,theme,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9"
English,Grade 10,Match each sentence type to its use.,Match sentence variety.,Matching,"simple,compound,complex,compound-complex","layered,emphasis,equal ideas,subordination","0-1,1-2,2-3,3-0",328,2,CCSS.ELA.L.9-10.1,sentences,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 10,Match each audience to adaptation.,Match audience.,Matching,"academic,general,hostile,neutral","balanced,formal cite,plain language,acknowledge concerns","0-1,1-2,2-3,3-0",330,2,CCSS.ELA.W.9-10.4,audience,"CCSS.ELA.CCR.W.4, CCSS.ELA.CCR.SL.4"
English,Grade 11,Match each word to its definition.,Match vocabulary.,Matching,"syntax,diction,tone,mood","reader feeling,sentence structure,word choice,author attitude","0-1,1-2,2-3,3-0",338,2,CCSS.ELA.L.11-12.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 11,Match each literary theory to its focus.,Match literary theory.,Matching,"feminist,Marxist,psychoanalytic,reader-response","reader meaning,gender,class power,unconscious","0-1,1-2,2-3,3-0",340,2,CCSS.ELA.RL.11-12.9,literary theory,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.3"
English,Grade 11,Match each fallacy to its description.,Match fallacies.,Matching,"hasty generalization,false dilemma,slippery slope,red herring","distract,one example,only two options,chain reaction","0-1,1-2,2-3,3-0",342,2,CCSS.ELA.RI.11-12.6,fallacies,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.SL.3"
English,Grade 11,Match each poetic form to its structure.,Match poetic forms.,Matching,"sonnet,haiku,villanelle,free verse","no fixed form,14 lines,5-7-5,refrain","0-1,1-2,2-3,3-0",345,2,CCSS.ELA.RL.11-12.5,poetic form,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.4"
English,Grade 11,Match each word to its connotation in context.,Match connotation.,Matching,"stubborn,persistent,cheap,frugal","positive,negative,negative,positive","0-1,1-0,2-2,3-3",348,2,CCSS.ELA.L.11-12.5,connotation,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6"
English,Grade 11,Match each narrative POV to its effect.,Match POV.,Matching,"first,third limited,third omniscient,second","implicate reader,intimate,one mind,all minds","0-1,1-2,2-3,3-0",350,2,CCSS.ELA.RL.11-12.6,point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.3"
English,Grade 11,Match each research step to its purpose.,Match research.,Matching,"narrow topic,evaluate sources,synthesize,cite","attribute,focus,check quality,combine","0-1,1-2,2-3,3-0",335,2,CCSS.ELA.W.11-12.8,research process,"CCSS.ELA.CCR.W.7, CCSS.ELA.CCR.W.8"
English,Grade 11,Match each verb form to its use.,Match verbals.,Matching,"gerund,participle,infinitive,gerund phrase","phrase as subject,-ing as noun,-ing as adj,to + verb","0-1,1-2,2-3,3-0",332,2,CCSS.ELA.L.11-12.1,verbals,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 11,Match each rhetorical strategy to its use.,Match rhetoric.,Matching,"concession,refutation,call to action,conclusion","wrap up,acknowledge other,disprove other,urge reader","0-1,1-2,2-3,3-0",328,2,CCSS.ELA.W.11-12.1,argument,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.R.8"
English,Grade 11,Match each text feature to its purpose.,Match text features.,Matching,"abstract,appendix,footnote,bibliography","works cited,summary,end matter,source note","0-1,1-2,2-3,3-0",330,2,CCSS.ELA.RI.11-12.5,text features,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.W.8"
English,Grade 12,Match each word to its definition.,Match vocabulary.,Matching,"synthesis,analysis,evaluation,application","use in new context,combine ideas,break down,judge quality","0-1,1-2,2-3,3-0",338,2,CCSS.ELA.L.11-12.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 12,Match each critical lens to its question.,Match critical lenses.,Matching,"formalist,historical,gender,postcolonial","colonizer colonized,how does form work,what context,gender roles","0-1,1-2,2-3,3-0",340,2,CCSS.ELA.RL.11-12.9,critical lenses,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.3"
English,Grade 12,Match each argument type to its structure.,Match argument types.,Matching,"Toulmin,Rogerian,classical,comparative","side by side,claim warrant backing,common ground,ethos pathos logos","0-1,1-2,2-3,3-0",342,2,CCSS.ELA.W.11-12.1,argument types,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.R.8"
English,Grade 12,Match the diagram labels to the correct parts of the essay structure. {ela_match_g12_diag.png},Match the four labels to the four parts shown in the essay diagram.,Matching,"thesis,evidence,analysis,conclusion","part C,part A,part D,part B","0-1,1-3,2-0,3-2",345,2,CCSS.ELA.W.11-12.1,essay structure,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.R.5"
English,Grade 12,Match each style element to its effect.,Match style.,Matching,"parallelism,repetition,variety,concision","brevity,balance,emphasis,interest","0-1,1-2,2-3,3-0",348,2,CCSS.ELA.L.11-12.3,style,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.W.4"
English,Grade 12,Match each source to its appropriate use.,Match sources.,Matching,"primary,secondary,tertiary,popular","general,original,interpretation,summary","0-1,1-2,2-3,3-0",350,2,CCSS.ELA.W.11-12.8,research,"CCSS.ELA.CCR.W.8, CCSS.ELA.CCR.W.9"
English,Grade 12,Match each convention to its domain.,Match conventions.,Matching,"MLA,APA,Chicago,AMA","medicine,literature,psychology,history","0-1,1-2,2-3,3-0",335,2,CCSS.ELA.W.11-12.8,citations,"CCSS.ELA.CCR.W.8, CCSS.ELA.CCR.W.9"
English,Grade 12,Match each rhetorical move to its purpose.,Match rhetoric.,Matching,"exordium,narratio,confirmatio,peroratio","close,hook,background,proof","0-1,1-2,2-3,3-0",332,2,CCSS.ELA.RI.11-12.6,classical rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 12,Match each tone to a passage type.,Match tone.,Matching,"formal,informal,academic,conversational","letter to friend,legal document,blog,journal article","0-1,1-2,2-3,3-0",328,2,CCSS.ELA.L.11-12.3,tone and register,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.W.4"
English,Grade 12,Match each coherence device to its use.,Match coherence.,Matching,"transition,repetition,pronoun reference,parallel structure","balance form,link ideas,echo key term,refer back","0-1,1-2,2-3,3-0",330,2,CCSS.ELA.W.11-12.2,coherence,"CCSS.ELA.CCR.W.2, CCSS.ELA.CCR.L.3"
