Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswers,difficultyLevel,dokLevel,standard,contentFocus,Competencies,,,
English,Grade 12,Which two compare how texts from different periods treat theme?,Select cross-period comparison,MultipleSelect,same author,different historical context,page count,different style,"[B,D]",350,2,CCSS.ELA.RL.11-12.9,compare across periods,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.2",,,
Maths,Grade 1,Which two show the same number?,Select all that show the same number,MultipleSelect,5,3+2,4+1,2,"[A,B,C]",155,1,CCSS.MATH.CONTENT.1.OA.A.1,number sense,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA",,,
Maths,Grade 1,Which are ways to make 10?,Select all number pairs that make 10,MultipleSelect,6+4,7+2,3+7,5+5,"[A,C,D]",162,2,CCSS.MATH.CONTENT.1.OA.C.6,add within 20,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 1,Which numbers are greater than 8?,Select all numbers greater than 8,MultipleSelect,9,10,7,6,"[A,B]",158,1,CCSS.MATH.CONTENT.1.NBT.B.3,compare numbers,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NBT",,,
Maths,Grade 1,Which two are addition facts for 7?,Select all that equal 7,MultipleSelect,3+4,2+5,6+2,1+8,"[A,B]",172,1,CCSS.MATH.CONTENT.1.OA.A.1,addition facts,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA",,,
Maths,Grade 1,Which shapes have 4 sides?,Select all shapes with 4 sides,MultipleSelect,square,rectangle,triangle,circle,"[A,B]",165,1,CCSS.MATH.CONTENT.1.G.A.1,attributes of shapes,"CCSS.MATH.MP.7, CCSS.MATH.DOM.G",,,
Maths,Grade 1,Which are true?,Select all true number sentences,MultipleSelect,5=5,3+2=5,4>6,2<1,"[A,B]",170,2,CCSS.MATH.CONTENT.1.OA.D.7,true false equations,"CCSS.MATH.MP.3, CCSS.MATH.DOM.OA",,,
Maths,Grade 1,Which two show tens and ones?,Select place value representations,MultipleSelect,23,30+4,5,10+7,"[A,B,D]",160,1,CCSS.MATH.CONTENT.1.NBT.B.2,tens and ones,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NBT",,,
Maths,Grade 1,Which numbers come between 14 and 18?,Select all numbers between 14 and 18,MultipleSelect,15,16,19,13,"[A,B]",175,1,CCSS.MATH.CONTENT.1.NBT.A.1,number order,"CCSS.MATH.MP.8, CCSS.MATH.DOM.NBT",,,
Maths,Grade 1,Which are subtraction facts for 9?,Select all that equal 9 when subtracting,MultipleSelect,1-Oct,Sep-00,2-Aug,3-Nov,"[A,B]",178,1,CCSS.MATH.CONTENT.1.OA.A.1,subtraction facts,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA",,,
Maths,Grade 2,Which two equal 100?,Select all that equal 100,MultipleSelect,50+50,90+10,60+50,25+75,"[A,B,D]",185,2,CCSS.MATH.CONTENT.2.NBT.B.5,add subtract within 100,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT",,,
Maths,Grade 2,Which are odd numbers?,Select all odd numbers,MultipleSelect,7,12,9,4,"[A,C]",182,1,CCSS.MATH.CONTENT.2.OA.C.3,odd and even,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 2,Which shapes have right angles?,Select all shapes with a right angle,MultipleSelect,square,rectangle,circle,triangle,"[A,B]",192,1,CCSS.MATH.CONTENT.2.G.A.1,shape attributes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G",,,
Maths,Grade 2,Which two are ways to show 3 groups of 4?,Select multiplication representations,MultipleSelect,4+4+4,3×4,4+3,3+3+3+3,"[A,B]",188,2,CCSS.MATH.CONTENT.2.OA.C.4,equal groups,"CCSS.MATH.MP.2, CCSS.MATH.DOM.OA",,,
Maths,Grade 2,Which numbers round to 50?,Select all that round to 50,MultipleSelect,47,52,45,55,"[A,B]",190,2,CCSS.MATH.CONTENT.2.NBT.A.1,place value and rounding,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT",,,
Maths,Grade 2,Which are lengths you could measure with a ruler?,Select measurable lengths,MultipleSelect,5 cm,10 inches,heavy,fast,"[A,B]",195,1,CCSS.MATH.CONTENT.2.MD.A.1,measure length,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD",,,
Maths,Grade 2,Which two make 15?,Select number pairs that sum to 15,MultipleSelect,8+7,9+6,10+4,5+5,"[A,B]",180,1,CCSS.MATH.CONTENT.2.OA.B.2,fluent add subtract,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA",,,
Maths,Grade 2,Which are correct for 6×3?,Select all equal to 6×3,MultipleSelect,18,6+6+6,3+3+3+3+3+3,9,"[A,B,C]",200,2,CCSS.MATH.CONTENT.2.OA.C.4,meaning of multiplication,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 2,Which show the same amount of time?,Select equivalent times,MultipleSelect,30 minutes,half hour,2 quarters,60 minutes,"[A,B,C]",197,1,CCSS.MATH.CONTENT.2.MD.C.7,time to 5 minutes,"CCSS.MATH.MP.6, CCSS.MATH.DOM.MD",,,
Maths,Grade 3,Which two are equivalent to 1/2?,Select all equivalent to one half,MultipleSelect,4-Feb,6-Mar,3-Jan,3-Feb,"[A,B]",208,2,CCSS.MATH.CONTENT.3.NF.A.3,equivalent fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NF",,,
Maths,Grade 3,Which are multiples of 5?,Select all multiples of 5,MultipleSelect,15,20,22,35,"[A,B,D]",205,1,CCSS.MATH.CONTENT.3.OA.A.1,multiplication facts,"CCSS.MATH.MP.8, CCSS.MATH.DOM.OA",,,
Maths,Grade 3,Which shapes have area 12 square units?,Select shapes with area 12,MultipleSelect,3×4 rectangle,6×2 rectangle,2×5 rectangle,12×1 rectangle,"[A,B,D]",212,2,CCSS.MATH.CONTENT.3.MD.C.7,area of rectangles,"CCSS.MATH.MP.4, CCSS.MATH.DOM.MD",,,
Maths,Grade 3,Which numbers are factors of 24?,Select all factors of 24,MultipleSelect,6,8,5,12,"[A,B,D]",202,2,CCSS.MATH.CONTENT.3.OA.B.5,factors and multiples,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 3,Which two have perimeter 16?,Select shapes with perimeter 16 units,MultipleSelect,4×4 square,5+5+3+3 rectangle,8×2 rectangle,6+6+2+2,"[A,B]",215,2,CCSS.MATH.CONTENT.3.MD.D.8,perimeter,"CCSS.MATH.MP.2, CCSS.MATH.DOM.MD",,,
Maths,Grade 3,Which are correct?,Select all true statements,MultipleSelect,7×8=56,9×6=54,4×9=35,6×7=42,"[A,B,D]",210,1,CCSS.MATH.CONTENT.3.OA.C.7,multiplication fluency,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA",,,
Maths,Grade 3,Which fractions are less than 1?,Select fractions less than 1,MultipleSelect,4-Mar,4-May,3-Feb,5-Jun,"[A,C]",220,1,CCSS.MATH.CONTENT.3.NF.A.2,unit fractions,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NF",,,
Maths,Grade 3,Which two show 1/4 shaded?,Select correct quarter representations,MultipleSelect,one quarter of a circle,one of four equal parts,two quarters,three quarters,"[A,B]",213,1,CCSS.MATH.CONTENT.3.NF.A.1,fractions of a whole,"CCSS.MATH.MP.5, CCSS.MATH.DOM.NF",,,
Maths,Grade 3,Which are quadrilaterals?,Select all quadrilaterals,MultipleSelect,square,rectangle,rhombus,triangle,"[A,B,C]",222,1,CCSS.MATH.CONTENT.3.G.A.1,classify shapes,"CCSS.MATH.MP.7, CCSS.MATH.DOM.G",,,
Maths,Grade 4,Which two are equivalent to 0.5?,Select decimal and fraction equivalents,MultipleSelect,2-Jan,10-May,5-Feb,0.05,"[A,B]",228,2,CCSS.MATH.CONTENT.4.NF.C.6,decimals and fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NF",,,
Maths,Grade 4,Which are prime numbers?,Select all prime numbers,MultipleSelect,2,3,4,5,"[A,B,D]",225,2,CCSS.MATH.CONTENT.4.OA.B.4,factors and primes,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 4,Which two angles are acute?,Select acute angles,MultipleSelect,45°,90°,30°,120°,"[A,C]",232,1,CCSS.MATH.CONTENT.4.MD.C.5,angle measure,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD",,,
Maths,Grade 4,Which fractions equal 3/4?,Select all equivalent to 3/4,MultipleSelect,8-Jun,12-Sep,3-Feb,75/100,"[A,B,D]",235,2,CCSS.MATH.CONTENT.4.NF.A.1,equivalent fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NF",,,
Maths,Grade 4,Which are factors of 36?,Select all factors of 36,MultipleSelect,6,9,7,12,"[A,B,D]",240,2,CCSS.MATH.CONTENT.4.OA.B.4,factors,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 4,Which two have the same value?,Select equivalent expressions,MultipleSelect,2×6,3×4,12,4+4+4,"[A,B,C]",230,1,CCSS.MATH.CONTENT.4.OA.A.1,multiplication comparison,"CCSS.MATH.MP.2, CCSS.MATH.DOM.OA",,,
Maths,Grade 4,Which units measure length?,Select length units,MultipleSelect,meter,foot,liter,inch,"[A,B,D]",242,1,CCSS.MATH.CONTENT.4.MD.A.1,measurement units,"CCSS.MATH.MP.6, CCSS.MATH.DOM.MD",,,
Maths,Grade 4,Which numbers are composite?,Select all composite numbers,MultipleSelect,4,6,7,9,"[A,B,D]",233,2,CCSS.MATH.CONTENT.4.OA.B.4,prime and composite,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA",,,
Maths,Grade 4,Which two show 2/3?,Select representations of 2/3,MultipleSelect,two thirds shaded,6-Apr,1/3+1/3,2-Mar,"[A,B,C]",245,2,CCSS.MATH.CONTENT.4.NF.A.2,compare fractions,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NF",,,
Maths,Grade 5,Which two equal 1?,Select all that equal 1,MultipleSelect,4-Apr,0.5+0.5,2/3+1/3,1/2+1/2,"[A,B,C,D]",252,2,CCSS.MATH.CONTENT.5.NF.A.1,add subtract fractions,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NF",,,
Maths,Grade 5,Which are correct for 0.3×2?,Select equivalent expressions,MultipleSelect,0.6,3/10×2,10-Jun,0.03×20,"[A,B,C]",255,2,CCSS.MATH.CONTENT.5.NBT.B.7,decimal multiplication,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NBT",,,
Maths,Grade 5,Which two are greater than 1/2?,Select fractions greater than 1/2,MultipleSelect,4-Mar,3-Feb,4-Jan,3-Jan,"[A,B]",258,2,CCSS.MATH.CONTENT.5.NF.A.2,compare fractions,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NF",,,
Maths,Grade 5,Which shapes have parallel sides?,Select shapes with at least one pair of parallel sides,MultipleSelect,square,rectangle,trapezoid,equilateral triangle,"[A,B,C]",250,1,CCSS.MATH.CONTENT.5.G.B.3,2D attributes,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G",,,
Maths,Grade 5,Which are correct?,Select all true,MultipleSelect,1/2×4=2,3×1/4=3/4,2/5×10=4,1/3×6=3,"[A,B,C]",260,2,CCSS.MATH.CONTENT.5.NF.B.4,fraction times whole number,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NF",,,
Maths,Grade 5,Which two have volume 24 cubic units?,Select prisms with volume 24,MultipleSelect,2×3×4,6×2×2,5×5×1,8×3×1,"[A,B,D]",248,2,CCSS.MATH.CONTENT.5.MD.C.5,volume,"CCSS.MATH.MP.4, CCSS.MATH.DOM.MD",,,
Maths,Grade 5,Which expressions equal 20?,Select all equal to 20,MultipleSelect,4×5,2×10,15+5,100÷4,"[A,B,C,D]",265,1,CCSS.MATH.CONTENT.5.OA.A.1,order of operations,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA",,,
Maths,Grade 5,Which are metric units?,Select metric units,MultipleSelect,meter,kilogram,foot,gallon,"[A,B]",253,1,CCSS.MATH.CONTENT.5.MD.A.1,convert units,"CCSS.MATH.MP.6, CCSS.MATH.DOM.MD",,,
Maths,Grade 5,Which two show 0.75?,Select representations of 0.75,MultipleSelect,75%,4-Mar,5-Jul,75/10,"[A,B]",268,2,CCSS.MATH.CONTENT.5.NBT.A.3,decimals and fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NBT",,,
Maths,Grade 6,Which two are equivalent to 50%?,Select equivalent to 50%,MultipleSelect,2-Jan,0.5,4-Feb,3-Jan,"[A,B,C]",275,2,CCSS.MATH.CONTENT.6.RP.A.3,ratios and percents,"CCSS.MATH.MP.2, CCSS.MATH.DOM.RP",,,
Maths,Grade 6,Which are negative numbers?,Select all negative numbers,MultipleSelect,-3,-0.5,0,5,"[A,B]",272,1,CCSS.MATH.CONTENT.6.NS.C.5,positive negative,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NS",,,
Maths,Grade 6,Which two satisfy x+5>10?,Select all solutions to the inequality,MultipleSelect,6,7,5,4,"[A,B]",278,2,CCSS.MATH.CONTENT.6.EE.B.8,inequalities,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE",,,
Maths,Grade 6,Which ratios are equivalent to 2:3?,Select equivalent ratios,MultipleSelect,4:06,6:09,3:02,8:12,"[A,B,D]",270,2,CCSS.MATH.CONTENT.6.RP.A.3,equivalent ratios,"CCSS.MATH.MP.7, CCSS.MATH.DOM.RP",,,
Maths,Grade 6,Which expressions equal 3x when x=2?,Select all equal to 3x for x=2,MultipleSelect,6,x+x+x,3×2,2+3,"[A,B,C]",276,2,CCSS.MATH.CONTENT.6.EE.A.2,expressions,"CCSS.MATH.MP.6, CCSS.MATH.DOM.EE",,,
Maths,Grade 6,Which are factors of 48?,Select all factors of 48,MultipleSelect,6,8,7,12,"[A,B,D]",273,2,CCSS.MATH.CONTENT.6.NS.B.4,factors and multiples,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NS",,,
Maths,Grade 6,Which two triangles have area 12?,Select triangles with area 12,MultipleSelect,base 6 height 4,base 8 height 3,base 5 height 5,base 4 height 6,"[A,B,D]",284,2,CCSS.MATH.CONTENT.6.G.A.1,area of triangle,"CCSS.MATH.MP.4, CCSS.MATH.DOM.G",,,
Maths,Grade 6,Which numbers are integers?,Select all integers,MultipleSelect,-2,0,3,2-Jan,"[A,B,C]",271,1,CCSS.MATH.CONTENT.6.NS.C.6,integers,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NS",,,
Maths,Grade 6,Which two show the same value?,Select equivalent forms,MultipleSelect,4-Jan,0.25,25%,8-Feb,"[A,B,C,D]",286,2,CCSS.MATH.CONTENT.6.RP.A.3,percents and fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.RP",,,
Maths,Grade 7,Which two are equivalent to -(-5)?,Select equivalent expressions,MultipleSelect,5,5,-5,0-(-5),"[A,B,D]",292,1,CCSS.MATH.CONTENT.7.NS.A.1,add subtract rationals,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NS",,,
Maths,Grade 7,Which satisfy 2x+1=9?,Select all solutions,MultipleSelect,4,2(4)+1,x=4,5,"[A,B,C]",290,2,CCSS.MATH.CONTENT.7.EE.B.4,solve equations,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE",,,
Maths,Grade 7,Which are proportional to 3:4?,Select equivalent ratios,MultipleSelect,6:08,9:12,12:16,5:06,"[A,B,C]",295,2,CCSS.MATH.CONTENT.7.RP.A.2,proportional relationships,"CCSS.MATH.MP.7, CCSS.MATH.DOM.RP",,,
Maths,Grade 7,Which two have the same probability?,Select events with equal probability,MultipleSelect,heads on a fair coin,1 on a fair die,even on a fair die,red from 2 red 2 blue,"[A,B,C]",288,2,CCSS.MATH.CONTENT.7.SP.C.7,probability,"CCSS.MATH.MP.2, CCSS.MATH.DOM.SP",,,
Maths,Grade 7,Which simplify to 5x?,Select equivalent to 5x,MultipleSelect,2x+3x,x+4x,10x-5x,6x-x,"[A,B,C,D]",296,1,CCSS.MATH.CONTENT.7.EE.A.1,combine like terms,"CCSS.MATH.MP.7, CCSS.MATH.DOM.EE",,,
Maths,Grade 7,Which two are correct for 30% of 80?,Select all correct,MultipleSelect,24,0.3×80,3/10×80,30×80,"[A,B,C]",300,2,CCSS.MATH.CONTENT.7.RP.A.3,percent problems,"CCSS.MATH.MP.2, CCSS.MATH.DOM.RP",,,
Maths,Grade 7,Which formulas find area?,Select area formulas,MultipleSelect,length×width,1/2 base×height,πr²,2πr,"[A,B,C]",291,2,CCSS.MATH.CONTENT.7.G.B.6,area formulas,"CCSS.MATH.MP.4, CCSS.MATH.DOM.G",,,
Maths,Grade 7,Which numbers are rational?,Select all rational numbers,MultipleSelect,2-Jan,-3,0.5,√2,"[A,B,C]",294,2,CCSS.MATH.CONTENT.7.NS.A.2,rational numbers,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NS",,,
Maths,Grade 7,Which two represent the same relationship?,Select equivalent representations,MultipleSelect,y=2x,table (1,2) (2,4),graph through origin slope 2, y=x+2,"[A,B,C]",302,2,CCSS.MATH.CONTENT.7.RP.A.2,proportional representations,"CCSS.MATH.MP.4, CCSS.MATH.DOM.RP",
Maths,Grade 8,Which two are equivalent to 2³?,Select equivalent expressions,MultipleSelect,8,2×2×2,4×2,2+2+2,"[A,B]",308,1,CCSS.MATH.CONTENT.8.EE.A.1,integer exponents,"CCSS.MATH.MP.7, CCSS.MATH.DOM.EE",,,
Maths,Grade 8,Which satisfy x²=16?,Select all solutions,MultipleSelect,4,-4,8,-8,"[A,B]",306,2,CCSS.MATH.CONTENT.8.EE.A.2,square roots,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE",,,
Maths,Grade 8,Which are functions?,Select relationships that are functions,MultipleSelect,each input one output,vertical line test passes,y=2x,x²+y²=1,"[A,B,C]",312,2,CCSS.MATH.CONTENT.8.F.A.1,function definition,"CCSS.MATH.MP.7, CCSS.MATH.DOM.F",,,
Maths,Grade 8,Which two have slope 2?,Select lines with slope 2,MultipleSelect,y=2x+1,y=2x-3,y=-2x,x/2+y=1,"[A,B]",304,2,CCSS.MATH.CONTENT.8.EE.B.6,slope,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE",,,
Maths,Grade 8,Which are Pythagorean triples?,Select all Pythagorean triples,MultipleSelect,3/4/2005,5/12/2013,4/5/2006,6/8/2010,"[A,B,D]",310,2,CCSS.MATH.CONTENT.8.G.B.7,Pythagorean theorem,"CCSS.MATH.MP.2, CCSS.MATH.DOM.G",,,
Maths,Grade 8,Which two are irrational?,Select irrational numbers,MultipleSelect,√2,π,0.5,3-Jan,"[A,B]",305,2,CCSS.MATH.CONTENT.8.NS.A.1,irrational numbers,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NS",,,
Maths,Grade 8,Which equations have no solution?,Select equations with no solution,MultipleSelect,x+1=x+2,2x=2x+1,3x=3x,x=5,"[A,B,C]",318,2,CCSS.MATH.CONTENT.8.EE.C.7,solutions of equations,"CCSS.MATH.MP.3, CCSS.MATH.DOM.EE",,,
Maths,Grade 8,Which transformations preserve length?,Select rigid motions,MultipleSelect,translation,rotation,reflection,dilation,"[A,B,C]",307,2,CCSS.MATH.CONTENT.8.G.A.1,transformations,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G",,,
Maths,Grade 8,Which two represent linear relationships?,Select linear,MultipleSelect,y=3x,y=x²,y-2=4(x-1),xy=10,"[A,C]",320,2,CCSS.MATH.CONTENT.8.F.B.4,linear functions,"CCSS.MATH.MP.4, CCSS.MATH.DOM.F",,,
Maths,Grade 9,Which two are equivalent to (x+2)(x-2)?,Select equivalent expressions,MultipleSelect,x²-4,(x+2)(x-2),x²+4x-4,x²-4x+4,"[A,B]",325,2,CCSS.MATH.CONTENT.HSA.SSE.A.2,equivalent expressions,"CCSS.MATH.MP.7, CCSS.MATH.A-SSE",,,
Maths,Grade 9,Which are solutions to x²-5x+6=0?,Select all roots,MultipleSelect,2,3,1,6,"[A,B]",322,2,CCSS.MATH.CONTENT.HSA.REI.B.4,solve quadratics,"CCSS.MATH.MP.2, CCSS.MATH.A-REI",,,
Maths,Grade 9,Which two functions have domain all reals?,Select domain all reals,MultipleSelect,f(x)=x²,f(x)=1/x,f(x)=√x,f(x)=2x+1,"[A,D]",328,2,CCSS.MATH.CONTENT.HSF.IF.A.1,domain of functions,"CCSS.MATH.MP.2, CCSS.MATH.F-IF",,,
Maths,Grade 9,Which equations represent the same line?,Select equivalent line equations,MultipleSelect,y=2x+1,2x-y=-1,y-3=2(x-1),x/2-y/2=1,"[A,B,C]",320,2,CCSS.MATH.CONTENT.HSA.CED.A.2,equations and graphs,"CCSS.MATH.MP.4, CCSS.MATH.A-CED",,,
Maths,Grade 9,Which are factors of x²-9?,Select all factors,MultipleSelect,x-3,x+3,x-9,x+9,"[A,B]",330,2,CCSS.MATH.CONTENT.HSA.APR.A.1,polynomial factoring,"CCSS.MATH.MP.7, CCSS.MATH.A-APR",,,
Maths,Grade 9,Which two inequalities have solution x>3?,Select equivalent inequalities,MultipleSelect,2x>6,x-1>2,3x<9,#NAME?,"[A,B]",324,2,CCSS.MATH.CONTENT.HSA.REI.B.3,solve inequalities,"CCSS.MATH.MP.2, CCSS.MATH.A-REI",,,
Maths,Grade 9,Which represent exponential growth?,Select exponential growth,MultipleSelect,y=2^x,y=(1/2)^x,y=2(3)^x,y=5-x,"[A,C]",327,2,CCSS.MATH.CONTENT.HSF.LE.A.1,exponential models,"CCSS.MATH.MP.4, CCSS.MATH.F-LE",,,
Maths,Grade 9,Which are identities?,Select identities (true for all x),MultipleSelect,(x+1)²=x²+2x+1,x²-1=(x-1)(x+1),x+1=2,x²=x,"[A,B]",335,2,CCSS.MATH.CONTENT.HSA.REI.A.1,identities,"CCSS.MATH.MP.7, CCSS.MATH.A-REI",,,
Maths,Grade 9,Which two are equivalent to log(100)?,Select equivalent,MultipleSelect,2,log 10²,log 50+log 2,1,"[A,B]",338,2,CCSS.MATH.CONTENT.HSF.LE.A.4,logarithms,"CCSS.MATH.MP.6, CCSS.MATH.F-LE",,,
Maths,Grade 10,Which two triangles are similar?,Select similar triangle pairs,MultipleSelect,30-60-90 and 30-60-90,all equilateral,3-4-5 and 6-8-10,2-3-4 and 4-6-8,"[A,B,C]",342,2,CCSS.MATH.CONTENT.HSG.SRT.A.2,similarity,"CCSS.MATH.MP.2, CCSS.MATH.G-SRT",,,
Maths,Grade 10,Which are correct for sin²θ+cos²θ?,Select all correct,MultipleSelect,1,sin²θ+cos²θ,(sin θ)²+(cos θ)²,0,"[A,B,C]",340,2,CCSS.MATH.CONTENT.HSF.TF.C.8,trig identities,"CCSS.MATH.MP.7, CCSS.MATH.F-TF",,,
Maths,Grade 10,Which two vectors have the same direction?,Select parallel vectors,MultipleSelect,⟨2,4⟩,⟨1,2⟩,⟨-2,-4⟩,⟨4,2⟩,"[A,B,C]",345,2,CCSS.MATH.CONTENT.HSN.VM.A.2,vectors
Maths,Grade 10,Which equations have exactly two solutions?,Select equations with two solutions,MultipleSelect,x²=4,x²=-1,x²=0,(x-1)(x-2)=0,"[A,D]",338,2,CCSS.MATH.CONTENT.HSA.REI.B.4,number of solutions,"CCSS.MATH.MP.3, CCSS.MATH.A-REI",,,
Maths,Grade 10,Which are probability distributions?,Select valid distributions,MultipleSelect,P(A)=0.5 P(B)=0.5,sum of P=1,all P between 0 and 1,P(A)=1.2,"[A,B,C]",346,2,CCSS.MATH.CONTENT.HSS.MD.A.1,probability rules,"CCSS.MATH.MP.2, CCSS.MATH.S-MD",,,
Maths,Grade 10,Which two are equivalent to √(x²)?,Select equivalent,MultipleSelect,|x|,x for x≥0 -x for x<0,√x·√x,(√x)²,"[A,B]",341,2,CCSS.MATH.CONTENT.HSN.RN.A.2,radicals,"CCSS.MATH.MP.7, CCSS.MATH.N-RN",,,
Maths,Grade 10,Which represent circles?,Select circle equations,MultipleSelect,x²+y²=9,(x-1)²+(y+2)²=4,x²-y²=1,y=x²,"[A,B]",344,2,CCSS.MATH.CONTENT.HSG.GPE.A.1,circle equations,"CCSS.MATH.MP.4, CCSS.MATH.G-GPE",,,
Maths,Grade 10,Which two are sufficient to prove triangles congruent?,Select congruence criteria,MultipleSelect,SSS,SAS,SSA,AAA,"[A,B]",350,2,CCSS.MATH.CONTENT.HSG.CO.B.8,triangle congruence,"CCSS.MATH.MP.3, CCSS.MATH.G-CO",,,
Maths,Grade 10,Which sequences are arithmetic?,Select arithmetic sequences,MultipleSelect,2 5 8 11,1 2 4 8,3 3 3 3,1 4 9 16,"[A,C]",352,2,CCSS.MATH.CONTENT.HSF.BF.A.2,sequences,"CCSS.MATH.MP.8, CCSS.MATH.F-BF",,,
Maths,Grade 11,Which two are equivalent to i²?,Select equivalent,MultipleSelect,-1,i·i,√(-1)·√(-1),1,"[A,B,C]",355,2,CCSS.MATH.CONTENT.HSN.CN.A.1,complex numbers,"CCSS.MATH.MP.7, CCSS.MATH.N-CN",,,
Maths,Grade 11,Which are one-to-one functions?,Select one-to-one functions,MultipleSelect,f(x)=x,f(x)=x³,f(x)=x²,f(x)=2x+1,"[A,B,D]",358,2,CCSS.MATH.CONTENT.HSF.BF.B.4,inverse functions,"CCSS.MATH.MP.2, CCSS.MATH.F-BF",,,
Maths,Grade 11,Which two equal 1 for all x?,Select identities,MultipleSelect,sin²x+cos²x,tan x·cot x,(x+1)/(x+1),x/x,"[A,B,C,D]",362,2,CCSS.MATH.CONTENT.HSF.TF.C.8,trig identities,"CCSS.MATH.MP.7, CCSS.MATH.F-TF",,,
Maths,Grade 11,Which distributions have mean 0?,Select symmetric about 0,MultipleSelect,normal mean 0,-1 0 1,uniform -2 to 2,1 2 3 4,"[A,B,C]",354,2,CCSS.MATH.CONTENT.HSS.ID.A.4,distribution shape,"CCSS.MATH.MP.2, CCSS.MATH.S-ID",,,
Maths,Grade 11,Which are correct for log(ab)?,Select log properties,MultipleSelect,log a+log b,log a·log b,log(a+b),log a - log(1/b),"[A,D]",360,2,CCSS.MATH.CONTENT.HSF.LE.A.4,logarithm properties,"CCSS.MATH.MP.7, CCSS.MATH.F-LE",,,
Maths,Grade 11,Which two matrices can be multiplied?,Select compatible dimensions,MultipleSelect,2×3 and 3×2,2×2 and 2×2,3×1 and 1×3,2×3 and 2×3,"[A,B,C]",355,2,CCSS.MATH.CONTENT.HSN.VM.C.8,matrix multiplication,"CCSS.MATH.MP.4, CCSS.MATH.N-VM",,,
Maths,Grade 11,Which represent conditional probability?,Select P(A|B) form,MultipleSelect,P(A and B)/P(B),P(B and A)/P(B),P(A)P(B),P(A or B),"[A,B]",368,2,CCSS.MATH.CONTENT.HSS.CP.A.3,conditional probability,"CCSS.MATH.MP.2, CCSS.MATH.S-CP",,,
Maths,Grade 11,Which are polynomial functions?,Select polynomials,MultipleSelect,f(x)=x³-2x,f(x)=1/x,f(x)=√x,f(x)=2^x,[A],357,2,CCSS.MATH.CONTENT.HSA.APR.A.1,polynomials,"CCSS.MATH.MP.7, CCSS.MATH.A-APR",,,
Maths,Grade 11,Which two converge?,Select convergent series or sequences,MultipleSelect,1/2 1/4 1/8,1+1+1+1,sum 1/n²,(1.1)^n,"[A,C]",370,2,CCSS.MATH.CONTENT.HSF.BF.A.2,sequences series,"CCSS.MATH.MP.8, CCSS.MATH.F-BF",,,
Maths,Grade 12,Which two are equivalent to ∫x dx?,Select antiderivatives of x,MultipleSelect,x²/2+C,x²/2,(1/2)x²+C,x²,"[A,B,C]",372,2,CCSS.MATH.CONTENT.HSF.C.9,integration,"CCSS.MATH.MP.6, CCSS.MATH.CONTENT.S",,,
