Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 11,Simplify: (x^(1/2))^2,Use properties of rational exponents.,MCQ,x,x^2,√x,1,A,190,2,CCSS.MATH.CONTENT.HSN.RN.A.2,rational exponents,"CCSS.MATH.MP.7, CCSS.MATH.N-RN"
Maths,Grade 11,Which value of x makes x^2 − 5x + 6 equal to 0?,Find zeros of a quadratic.,MCQ,x = 1,x = 2,x = 3,x = 4,B,200,2,CCSS.MATH.CONTENT.HSA.APR.B.3,zeros of polynomials,"CCSS.MATH.MP.2, CCSS.MATH.A-APR"
Maths,Grade 11,What is the vertex of the graphed parabola? {img:math_g11_q3.png},"The image shows a parabola with vertex at (1,−4).",MCQ,"(−4,1)","(1,4)","(1,−4)","(−1,−4)",C,210,2,CCSS.MATH.CONTENT.HSF.IF.C.7,interpret quadratic graphs,"CCSS.MATH.MP.5, CCSS.MATH.F-IF"
Maths,Grade 11,A population starts at 2000 and grows by 3% each year. Which function models the population after t years?,Exponential growth word problem.,MCQ,P(t)=2000+3t,P(t)=2000(1.03)^t,P(t)=2000(0.97)^t,P(t)=2000t^3,B,230,2,CCSS.MATH.CONTENT.HSF.LE.A.1,exponential growth models,"CCSS.MATH.MP.4, CCSS.MATH.F-LE"
Maths,Grade 11,Solve: 2^x = 16,Solve an exponential equation.,MCQ,x = 3,x = 4,x = 8,x = 16,B,170,1,CCSS.MATH.CONTENT.HSF.LE.B.4,solve exponential equations,"CCSS.MATH.MP.2, CCSS.MATH.F-LE"
Maths,Grade 11,"If f(x)=3x−7, what is f^−1(5)?",Use inverse functions.,MCQ,−4,0,4,5,C,240,3,CCSS.MATH.CONTENT.HSF.BF.B.4,inverse functions,"CCSS.MATH.MP.2, CCSS.MATH.F-BF"
Maths,Grade 11,Two data sets have the same mean. Data Set A has a larger standard deviation than Data Set B. This means Data Set A is,Interpret standard deviation.,MCQ,more clustered around the mean,more spread out from the mean,always larger values,always smaller values,B,200,2,CCSS.MATH.CONTENT.HSS.ID.A.2,interpret standard deviation,"CCSS.MATH.MP.2, CCSS.MATH.S-ID"
Maths,Grade 11,"A line of best fit is y = 2.5x + 10, where x is hours studied and y is test score. What score is predicted for 4 hours?",Use a linear model in a word problem.,MCQ,20,22.5,25,30,D,220,2,CCSS.MATH.CONTENT.HSS.ID.C.7,use linear models,"CCSS.MATH.MP.4, CCSS.MATH.S-ID"
Maths,Grade 11,What is (3 + 2i) + (1 − 5i)?,Add complex numbers.,MCQ,4 − 3i,2 + 7i,4 + 7i,2 − 3i,A,180,1,CCSS.MATH.CONTENT.HSN.CN.A.1,operations with complex numbers,"CCSS.MATH.MP.6, CCSS.MATH.N-CN"
Maths,Grade 11,Solve: x^2 − 4x − 12 = 0,Solve a quadratic equation.,MCQ,x = 6 or −2,x = 4 or −3,x = 12 or −1,x = 3 or −4,A,220,2,CCSS.MATH.CONTENT.HSA.REI.B.4.B,solve quadratics by factoring,"CCSS.MATH.MP.2, CCSS.MATH.A-REI"
Maths,Grade 12,What is sin^2(θ) + cos^2(θ) equal to?,Use a fundamental trigonometric identity.,MCQ,0,1,sin(2θ),cos(2θ),B,170,1,CCSS.MATH.CONTENT.HSF.TF.C.8,trigonometric identities,"CCSS.MATH.MP.7, CCSS.MATH.F-TF"
Maths,Grade 12,"On the interval [0, 2π), the solutions to cos(x) = 0 are",Solve a basic trigonometric equation.,MCQ,0 and π,π/2 and 3π/2,π/4 and 5π/4,π/3 and 4π/3,B,230,2,CCSS.MATH.CONTENT.HSF.TF.A.4,solve trig equations,"CCSS.MATH.MP.2, CCSS.MATH.F-TF"
Maths,Grade 12,"On the unit circle, what are the coordinates of the point at 90°? {img:math_g12_q3.png}",The image shows a unit circle with a point at 90 degrees.,MCQ,"(1,0)","(0,1)","(−1,0)","(0,−1)",B,180,1,CCSS.MATH.CONTENT.HSF.TF.A.2,unit circle coordinates,"CCSS.MATH.MP.5, CCSS.MATH.F-TF"
Maths,Grade 12,A 20-foot ladder makes a 60° angle with the ground. How high up the wall does it reach?,Use trigonometry in a word problem.,MCQ,10 feet,17.3 feet,20 feet,34.6 feet,B,260,3,CCSS.MATH.CONTENT.HSG.SRT.C.8,right triangle trigonometry,"CCSS.MATH.MP.4, CCSS.MATH.G-SRT"
Maths,Grade 12,"Add the vectors ⟨3,4⟩ + ⟨−1,2⟩.",Add vectors component-wise.,MCQ,"⟨2,6⟩","⟨4,2⟩","⟨−4,6⟩","⟨2,2⟩",A,200,2,CCSS.MATH.CONTENT.HSN.VM.A.1,vector addition,"CCSS.MATH.MP.2, CCSS.MATH.N-VM"
Maths,Grade 12,A game pays $10 with probability 0.2 and $0 otherwise. What is the expected value?,Compute expected value.,MCQ,$0,$2,$5,$10,B,220,2,CCSS.MATH.CONTENT.HSS.MD.B.5,expected value,"CCSS.MATH.MP.2, CCSS.MATH.S-MD"
Maths,Grade 12,An arithmetic sequence has a1 = 5 and common difference d = 3. What is a10?,Find terms of an arithmetic sequence.,MCQ,29,32,35,38,B,210,2,CCSS.MATH.CONTENT.HSF.BF.A.2,arithmetic sequences,"CCSS.MATH.MP.2, CCSS.MATH.F-BF"
Maths,Grade 12,You invest $5000 at 4% interest compounded annually. What is the value after 3 years?,Exponential growth word problem.,MCQ,$5200,$5400,$5624.32,$6000,C,230,2,CCSS.MATH.CONTENT.HSF.LE.A.2,exponential functions in context,"CCSS.MATH.MP.4, CCSS.MATH.F-LE"
Maths,Grade 12,Evaluate: log10(1000),Use logarithms.,MCQ,1,2,3,10,C,190,1,CCSS.MATH.CONTENT.HSF.LE.B.4,logarithms and exponents,"CCSS.MATH.MP.7, CCSS.MATH.F-LE"
Maths,Grade 12,"If P(A)=0.7 and P(B|A)=0.4, what is P(A and B)?",Use conditional probability.,MCQ,0.11,0.28,0.4,1.1,B,210,2,CCSS.MATH.CONTENT.HSS.CP.A.4,conditional probability,"CCSS.MATH.MP.2, CCSS.MATH.S-CP"
